query,units,cards,est_cost,actual_ms,join_order
1b,default,default,52940.37,65.517,(((mc (mi_idx it)) ct) t)
1b,default,injected,50791.79,64.777,(((mc (mi_idx it)) ct) t)
2c,default,default,85768.8,146.934,(((mc (mk k)) cn) t)
2c,default,injected,88708.46,86.068,(((mk (mc cn)) k) t)
3c,default,default,307720.91,732.847,(mi ((mk k) t))
3c,default,injected,310279.69,660.369,((mi (mk k)) t)
4b,default,default,66714.13,117.346,(((mk (mi_idx it)) k) t)
4b,default,injected,67157.55,85.515,(((mk k) (mi_idx it)) t)
5a,default,default,321951.32,45.275,(((mi (mc ct)) t) it)
5a,default,injected,321824.96,44.344,(((mi (mc ct)) it) t)
6e,default,default,512566.82,1130.576,((ci ((mk k) t)) n)
6e,default,injected,512638.26,991.656,((ci ((mk k) t)) n)
7b,default,default,545681.19,1294.115,(((ci ((an (pi it)) n)) (ml lt)) t)
7b,default,injected,546010.58,1008.265,(an (((ci ((pi n) it)) t) (ml lt)))
8b,default,default,499908.24,782.567,(((an (((ci rt) mc) t)) cn) n)
8b,default,injected,501043.7,714.465,((an ((((ci mc) rt) t) n)) cn)
9c,default,default,554931.34,1204.403,(an (((mc (((ci rt) n) chn)) cn) t))
9c,default,injected,594872.64,910.178,(an ((((mc ((ci rt) n)) cn) chn) t))
10a,default,default,514908.41,639.736,(((((mc (ci rt)) cn) t) chn) ct)
10a,default,injected,518030.07,583.294,(((((ci (mc cn)) rt) t) chn) ct)
11d,default,default,84796.59,107.924,(((mc ((((mk k) ml) t) lt)) ct) cn)
11d,default,injected,99113.02,105.168,(((mc ((((mk k) ml) lt) t)) ct) cn)
12a,default,default,289406.15,597.751,((((mc ((mi it1) (mi_idx it2))) ct) cn) t)
12a,default,injected,290673.27,558.205,(((mc (((mi (mi_idx it2)) it1) t)) ct) cn)
13c,default,default,291508.3,1280.054,((((mc (((mi it2) (miidx it)) t)) kt) cn) ct)
13c,default,injected,345122.9,643.68,(((mc ((miidx (((mi t) it2) kt)) it)) ct) cn)
14c,default,default,323594.79,967.967,((mk ((((mi it1) (mi_idx it2)) t) kt)) k)
14c,default,injected,331760.91,564.388,((mi_idx ((((mi (mk k)) it1) t) kt)) it2)
15d,default,default,333499.25,654.675,(at ((mk (((mc ((mi it1) t)) cn) ct)) k))
15d,default,injected,338978.79,547.293,((mk ((((mc ((mi at) it1)) cn) t) ct)) k)
16a,default,default,562793.99,789.618,(an ((ci ((mc ((mk k) t)) cn)) n))
16a,default,injected,571380.4,1459.606,(an ((ci ((mc ((mk k) t)) cn)) n))
